idx,t_s,x_m,y_m,vel_mps,heading_x,heading_y,spreading,dose_alvo_kg_ha
137,46.5704,137.0000,-90.1866,3.1195,1.000000,0.000000,1,100.000000
138,46.8909,138.0000,-90.1866,3.1199,1.000000,0.000000,1,100.000000
139,47.2114,139.0000,-90.1866,3.1202,1.000000,0.000000,1,100.000000
140,47.5319,140.0000,-90.1866,3.1203,1.000000,0.000000,1,100.000000
141,47.8524,141.0000,-90.1866,3.1202,1.000000,0.000000,1,100.000000
142,48.1729,142.0000,-90.1866,3.1201,1.000000,0.000000,1,100.000000
143,48.4934,143.0000,-90.1866,3.1197,1.000000,0.000000,1,100.000000
144,48.8140,144.0000,-90.1866,3.1193,1.000000,0.000000,1,100.000000
145,49.1347,145.0000,-90.1866,3.1187,1.000000,0.000000,1,100.000000
146,49.4554,146.0000,-90.1866,3.1179,1.000000,0.000000,1,100.000000
147,49.7762,147.0000,-90.1866,3.1171,1.000000,0.000000,1,100.000000
148,50.0971,148.0000,-90.1866,3.1161,1.000000,0.000000,1,100.000000
149,50.4181,149.0000,-90.1866,3.1150,1.000000,0.000000,1,100.000000
150,50.7393,150.0000,-90.1866,3.1138,1.000000,0.000000,1,100.000000
151,51.0606,151.0000,-90.1866,3.1125,1.000000,0.000000,1,100.000000
152,51.3820,152.0000,-90.1866,3.1111,1.000000,0.000000,1,100.000000
153,51.7036,153.0000,-90.1866,3.1096,1.000000,0.000000,1,100.000000
154,52.0253,154.0000,-90.1866,3.1081,1.000000,0.000000,1,100.000000
155,52.3472,155.0000,-90.1866,3.1064,1.000000,0.000000,1,100.000000
156,52.6693,156.0000,-90.1866,3.1047,1.000000,0.000000,1,100.000000
157,52.9916,157.0000,-90.1866,3.1029,1.000000,0.000000,1,100.000000
158,53.3141,158.0000,-90.1866,3.1010,1.000000,0.000000,1,100.000000
159,53.6368,159.0000,-90.1866,3.0991,1.000000,0.000000,1,100.000000
160,53.9596,160.0000,-90.1866,3.0971,1.000000,0.000000,1,100.000000
161,54.2827,161.0000,-90.1866,3.0951,1.000000,0.000000,1,100.000000
162,54.6060,162.0000,-90.1866,3.0931,1.000000,0.000000,1,100.000000
163,54.9296,163.0000,-90.1866,3.0910,1.000000,0.000000,1,100.000000
164,55.2533,164.0000,-90.1866,3.0888,1.000000,0.000000,1,100.000000
165,55.5773,165.0000,-90.1866,3.0867,1.000000,0.000000,1,100.000000
166,55.9015,166.0000,-90.1866,3.0845,1.000000,0.000000,1,100.000000
